City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Goderich,43.7501,-81.7165,19.4,79,100,14.97,CA,1612669266
Yellowknife,62.456,-114.3525,-42.0,66,1,2.3,CA,1612669304
Busselton,-33.65,115.3333,61.0,94,100,3.0,AU,1612669505
Saint-Louis,16.3333,-15.0,64.4,59,0,2.3,SN,1612669452
Altagracia de Orituco,9.8601,-66.3814,70.65,82,99,6.71,VE,1612669505
Castro,-24.7911,-50.0119,60.75,90,67,9.62,BR,1612669454
Alyangula,-13.8483,136.4192,86.0,70,90,19.57,AU,1612669505
Fortuna,40.5982,-124.1573,48.0,93,90,9.51,US,1612669505
Punta Arenas,-53.15,-70.9167,48.2,76,0,11.5,CL,1612669451
Port Alfred,-33.5906,26.891,68.0,83,34,4.0,ZA,1612669505
Gorin,51.1983,136.6669,4.77,91,100,8.81,RU,1612669505
Chui,-33.6971,-53.4616,65.79,88,0,7.05,UY,1612669505
Akureyri,65.6835,-18.0878,32.0,74,90,5.75,IS,1612669340
Buala,-8.145,159.5921,78.55,83,100,4.56,SB,1612669505
Lewiston,44.1003,-70.2148,28.4,43,1,8.05,US,1612669453
East London,-33.0153,27.9116,66.2,94,20,11.5,ZA,1612669506
Micheweni,-4.9667,39.8333,81.23,75,98,8.68,TZ,1612669506
Puerto Ayora,-0.7393,-90.3518,77.0,95,69,7.23,EC,1612669506
Hong Kong,22.2855,114.1577,77.0,38,0,14.97,HK,1612669233
Atuona,-9.8,-139.0333,79.83,80,86,21.9,PF,1612669506
Vostok,46.4856,135.8833,-2.61,89,100,5.46,RU,1612669506
Airai,-8.9266,125.4092,73.17,79,42,5.79,TL,1612669506
Kapaa,22.0752,-159.319,71.6,56,75,3.44,US,1612669451
Esperance,-33.8667,121.9,60.8,94,90,12.66,AU,1612669506
Tuktoyaktuk,69.4541,-133.0374,-14.8,76,90,21.85,CA,1612669490
Khandagayty,50.7333,92.05,2.07,90,100,2.35,RU,1612669507
Rikitea,-23.1203,-134.9692,78.42,71,87,10.58,PF,1612669288
Hithadhoo,-0.6,73.0833,81.73,74,71,11.41,MV,1612669448
Ushuaia,-54.8,-68.3,48.2,76,75,12.66,AR,1612669507
Hambantota,6.1241,81.1185,78.8,94,0,8.05,LK,1612669507
Mar del Plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,1612669446
Port Elizabeth,-33.918,25.5701,68.0,77,0,12.66,ZA,1612669344
Palmer,42.1584,-72.3287,21.99,63,75,3.18,US,1612669488
Ulaangom,49.9811,92.0667,-0.94,90,54,2.17,MN,1612669480
Saint Paul Harbor,57.79,-152.4072,33.8,60,1,5.75,US,1612669438
Neyyāttinkara,8.4,77.0833,86.0,70,20,3.44,IN,1612669507
Provideniya,64.3833,-173.3,-2.43,86,1,8.88,RU,1612669300
Butaritari,3.0707,172.7902,80.92,80,60,21.21,KI,1612669294
Mataura,-46.1927,168.8643,78.85,46,15,4.16,NZ,1612669454
Cockburn Town,21.4612,-71.1419,77.36,76,5,22.7,TC,1612669211
Barrow,71.2906,-156.7887,-4.0,77,90,14.97,US,1612669508
New Norfolk,-42.7826,147.0587,71.01,42,19,5.01,AU,1612669508
Hobart,-42.8794,147.3294,71.01,48,20,23.02,AU,1612669476
Chokurdakh,70.6333,147.9167,-24.84,85,60,5.44,RU,1612669508
Nuevo Progreso,23.1667,-97.95,66.99,92,65,5.99,MX,1612669509
Velizh,55.6056,31.1967,-1.48,93,78,5.48,RU,1612669509
Cabo San Lucas,22.8909,-109.9124,66.2,68,20,3.44,MX,1612669509
Malbork,54.0359,19.0266,7.0,92,0,4.61,PL,1612669509
Soto la Marina,23.7667,-98.2167,66.99,89,8,4.0,MX,1612669509
Jamestown,42.097,-79.2353,15.8,53,1,6.91,US,1612669449
Horasan,40.0458,42.1728,12.0,88,5,1.23,TR,1612669510
Avera,33.194,-82.5271,39.2,91,90,10.36,US,1612669510
Rocha,-34.4833,-54.3333,62.62,93,2,3.47,UY,1612669510
Hilo,19.7297,-155.09,75.2,60,90,5.75,US,1612669291
Thompson,55.7435,-97.8558,-29.2,62,40,11.5,CA,1612669510
Dingle,10.9995,122.6711,82.85,79,73,13.94,PH,1612669510
Hermanus,-34.4187,19.2345,66.0,94,97,10.87,ZA,1612669510
Pingshan,22.9938,114.7131,72.0,63,0,4.63,CN,1612669510
Dubbo,-32.25,148.6167,80.6,36,40,8.05,AU,1612669511
Cherskiy,68.75,161.3,-4.18,81,0,2.95,RU,1612669319
Wanning,18.8003,110.3967,75.13,66,14,7.52,CN,1612669511
Mitsamiouli,-11.3847,43.2844,82.42,74,99,7.43,KM,1612669511
Neepawa,50.2289,-99.4664,-23.8,69,1,17.27,CA,1612669511
Uppsala County,60.0,17.75,12.0,92,93,3.44,SE,1612669467
Albany,42.6001,-73.9662,23.0,51,7,1.77,US,1612669295
Sari,36.5633,53.0601,50.0,100,90,2.3,IR,1612669511
Sitka,57.0531,-135.33,32.0,55,20,4.61,US,1612669511
Samsun Province,41.25,36.3333,46.4,81,0,3.44,TR,1612669471
Verkhnyaya Tishanka,51.3239,40.5328,-0.44,91,54,11.34,RU,1612669511
San Miguel,13.4833,-88.1833,72.09,81,0,2.24,SV,1612669511
Norman Wells,65.282,-126.8329,-29.2,75,75,3.44,CA,1612669511
Klaksvík,62.2266,-6.589,35.6,64,75,17.27,FO,1612669512
Puerto Gaitán,4.3133,-72.0816,82.4,61,82,8.63,CO,1612669512
Hukuntsi,-24.0,21.75,66.6,93,5,9.64,BW,1612669512
Sobolevo,54.4299,31.8996,-5.69,91,56,7.47,RU,1612669512
Turukhansk,65.8167,87.9833,-9.65,87,72,7.02,RU,1612669512
Raudeberg,61.9875,5.1352,24.01,73,0,9.22,NO,1612669512
Touros,-5.1989,-35.4608,75.2,88,20,3.44,BR,1612669445
Tres Arroyos,-38.3739,-60.2798,59.09,76,15,11.63,AR,1612669512
George Town,5.4112,100.3354,86.0,66,20,3.44,MY,1612669265
Lázaro Cárdenas,17.9583,-102.2,72.55,78,0,2.93,MX,1612669512
Isangel,-19.55,169.2667,87.8,70,40,5.75,VU,1612669495
Henties Bay,-22.116,14.2845,63.0,90,7,3.0,NA,1612669512
Deniliquin,-35.5333,144.9667,79.0,37,0,1.01,AU,1612669512
Bredasdorp,-34.5322,20.0403,64.4,94,99,2.3,ZA,1612669513
Hazebrouck,50.7237,2.5373,30.99,95,100,7.0,FR,1612669513
Hope,33.6671,-93.5916,44.01,96,95,3.0,US,1612669513
Qaanaaq,77.484,-69.3632,12.2,89,100,4.29,GL,1612669498
Vaini,-21.2,-175.2,82.4,83,75,9.22,TO,1612669292
Mitú,1.1983,-70.1733,72.32,96,100,0.4,CO,1612669513
Cap Malheureux,-19.9842,57.6142,80.01,82,1,3.0,MU,1612669513
Saskylakh,71.9167,114.0833,-42.21,78,22,7.74,RU,1612669513
Necochea,-38.5473,-58.7368,57.99,87,49,1.99,AR,1612669507
Sabang,5.8933,95.3214,82.49,78,7,18.12,ID,1612669513
Kruisfontein,-34.0033,24.7314,66.99,80,1,1.99,ZA,1612669457
Pevek,69.7008,170.3133,-7.74,87,0,4.5,RU,1612669501
Jieshi,22.8134,115.8257,72.0,63,0,15.32,CN,1612669514
Mgandu,-5.95,34.1333,60.73,98,100,1.7,TZ,1612669514
Tot'ma,59.9747,42.7642,-9.4,89,100,7.25,RU,1612669514
Narsaq,60.9167,-46.05,44.6,31,75,17.27,GL,1612669405
Longyearbyen,78.2186,15.6401,15.8,79,75,13.8,SJ,1612669308
Mount Isa,-20.7333,139.5,80.6,89,90,9.22,AU,1612669286
Nanortalik,60.1432,-45.2371,27.0,93,100,3.24,GL,1612669450
Altay,47.8667,88.1167,26.42,88,18,2.42,CN,1612669514
Lavrentiya,65.5833,-171.0,-12.17,79,0,4.25,RU,1612669514
Havøysund,70.9963,24.6622,27.19,93,100,22.48,NO,1612669514
Ilfracombe,51.2093,-4.1134,41.0,88,97,8.99,GB,1612669514
Corner Brook,48.9667,-57.9484,32.0,86,90,14.97,CA,1612669514
Samarai,-10.6167,150.6667,86.14,69,51,3.89,PG,1612669514
Buraidah,26.326,43.975,48.2,100,75,4.61,SA,1612669259
Ribeira Brava,32.65,-17.0667,54.0,81,30,5.99,PT,1612669515
Agadez,19.75,10.25,56.66,33,18,4.7,NE,1612669515
Kandrian,-6.2167,149.55,90.09,59,39,7.23,PG,1612669515
Calama,-22.4667,-68.9333,59.0,51,0,8.05,CL,1612669447
Khatanga,71.9667,102.5,-34.6,78,0,9.01,RU,1612669515
Te Anau,-45.4167,167.7167,75.29,36,0,6.89,NZ,1612669477
Coyhaique,-45.5752,-72.0662,60.8,55,0,14.97,CL,1612669495
Geraldton,-28.7667,114.6,75.2,69,90,25.32,AU,1612669493
Kaitangata,-46.2817,169.8464,66.0,75,3,10.0,NZ,1612669459
Nome,64.5011,-165.4064,15.8,79,90,3.44,US,1612669404
Carnarvon,-24.8667,113.6333,86.0,100,40,12.66,AU,1612669467
San Fernando del Valle de Catamarca,-28.4696,-65.7852,66.99,79,0,1.01,AR,1612669473
Ust'-Ordynskiy,52.805,104.7508,8.6,72,0,2.24,RU,1612669515
Faanui,-16.4833,-151.75,82.6,68,1,11.21,PF,1612669516
Katsuura,35.1333,140.3,61.0,47,0,8.05,JP,1612669466
Shimokizukuri,40.8061,140.3861,36.0,93,75,11.5,JP,1612669516
Praia,14.9215,-23.5087,68.0,64,75,14.97,CV,1612669516
Nikolskoye,59.7035,30.7861,10.4,79,75,15.66,RU,1612669295
Severodvinsk,64.5635,39.8302,-7.6,77,75,4.47,RU,1612669516
Bela,25.9333,81.9833,61.95,49,0,5.44,IN,1612669516
Mingyue,43.1069,128.9217,16.79,79,15,11.07,CN,1612669516
Pareora,-44.4871,171.2132,68.0,75,0,5.01,NZ,1612669434
Villarrica,-25.75,-56.4333,62.56,84,0,4.29,PY,1612669516
Camacha,33.0833,-16.3333,57.2,72,20,10.36,PT,1612669339
Comodoro Rivadavia,-45.8667,-67.5,57.2,72,40,8.05,AR,1612669502
Zhezkazgan,47.8043,67.7144,14.74,95,44,15.12,KZ,1612669516
Padang,-0.9492,100.3543,87.8,58,20,2.3,ID,1612669320
Lebu,-37.6167,-73.65,57.33,93,17,2.77,CL,1612669516
Thinadhoo,0.5333,72.9333,81.77,75,0,14.05,MV,1612669517
Goundi,9.3627,17.366,64.51,27,65,3.87,TD,1612669517
Kakonko,-3.2828,30.9642,63.27,90,91,2.55,TZ,1612669517
Puerto Baquerizo Moreno,-0.9,-89.6,76.51,87,22,8.05,EC,1612669517
Aban,56.67,96.06,24.12,96,100,9.69,RU,1612669517
Omboué,-1.5746,9.2618,79.11,85,100,7.23,GA,1612669517
Sibu,2.3,111.8167,82.4,83,40,2.3,MY,1612669393
Khani,41.9563,42.9566,46.4,87,90,11.5,GE,1612669517
Port Blair,11.6667,92.75,84.2,74,40,10.36,IN,1612669515
Bluff,-46.6,168.3333,61.09,77,0,11.18,NZ,1612669517
Roebourne,-20.7833,117.1333,86.22,42,0,13.27,AU,1612669518
Blackfoot,43.1905,-112.345,37.0,46,11,11.99,US,1612669518
Leopold,-38.1833,144.4667,66.0,67,90,20.71,AU,1612669518
Cururupu,-1.8283,-44.8683,75.76,93,60,2.95,BR,1612669518
Ikongo,-21.8833,47.4333,75.04,81,99,1.45,MG,1612669518
Hofn,64.2539,-15.2082,32.02,95,93,18.54,IS,1612669221
Upington,-28.4478,21.2561,69.8,68,0,4.61,ZA,1612669518
Puerto Carreño,6.189,-67.4859,80.85,59,100,7.74,CO,1612669518
Tura,25.5198,90.2201,69.21,42,100,4.14,IN,1612669518
Tineo,43.3376,-6.4145,44.01,81,0,10.36,ES,1612669518
Labuhan,-6.8844,112.2051,83.21,80,10,16.44,ID,1612669518
Muyezerskiy,63.9333,31.65,12.02,95,100,8.57,RU,1612669518
Westport,41.1415,-73.3579,37.4,44,1,6.91,US,1612669518
Torbay,47.6666,-52.7314,37.99,100,90,24.16,CA,1612669462
Brownsville,25.9018,-97.4975,66.0,88,20,5.32,US,1612669519
Port Augusta,-32.5,137.7667,82.0,60,40,16.11,AU,1612669519
São Filipe,14.8961,-24.4956,69.08,74,24,13.29,CV,1612669519
Bambous Virieux,-20.3428,57.7575,80.01,94,40,3.44,MU,1612669519
Bat Yam,32.0231,34.7503,54.0,94,0,4.61,IL,1612669519
Kirakira,-10.4544,161.9205,79.56,86,100,9.73,SB,1612669519
Avarua,-21.2078,-159.775,84.2,70,20,11.5,CK,1612669519
Dikson,73.5069,80.5464,-27.69,87,91,9.26,RU,1612669420
Kysyl-Syr,63.8986,122.7617,-28.53,84,94,9.1,RU,1612669519
Pangnirtung,66.1451,-65.7125,22.89,80,79,2.64,CA,1612669341
Honningsvåg,70.9821,25.9704,27.81,94,100,25.32,NO,1612669321
Port Keats,-14.25,129.55,89.22,63,94,12.26,AU,1612669519
Lagoa,39.05,-27.9833,60.24,91,85,27.74,PT,1612669470
Tiksi,71.6872,128.8694,-25.4,85,100,6.06,RU,1612669519
Saint Anthony,45.0205,-93.218,-7.6,59,1,11.5,US,1612669490
Morón,-34.6534,-58.6198,75.0,89,0,3.0,AR,1612669520
Ngunguru,-35.6167,174.5,71.01,69,91,13.0,NZ,1612669520
Marawi,7.9986,124.2928,81.0,83,87,5.99,PH,1612669416
Biskamzha,53.4497,89.5272,29.34,93,0,2.17,RU,1612669520
Aklavik,68.2191,-135.0107,-16.6,76,100,5.75,CA,1612669288
Warrington,53.3925,-2.5802,39.2,81,90,13.8,GB,1612669520
Nassau,40.7507,-73.5829,37.99,60,1,1.66,US,1612669520
Gigmoto,13.7796,124.39,82.71,73,65,13.67,PH,1612669520
Kanashevo,55.2169,62.0634,10.4,79,75,17.9,RU,1612669520
Hangzhou,30.2937,120.1614,64.99,63,0,2.24,CN,1612669520
São João da Barra,-21.6403,-41.0511,68.9,95,100,13.85,BR,1612669520
Ituango,7.1712,-75.764,64.65,91,100,1.07,CO,1612669520
Ixtapa,20.7,-105.2,71.6,83,1,3.44,MX,1612669521
Leningradskiy,69.3833,178.4167,-11.29,73,9,5.7,RU,1612669521
Sur,22.5667,59.5289,67.62,56,0,6.46,OM,1612669521
Asău,46.4333,26.4,27.0,73,100,3.36,RO,1612669521
Nioro,13.35,-15.75,66.6,26,82,7.76,GM,1612669521
Qaqortoq,60.7167,-46.0333,44.6,31,75,17.27,GL,1612669422
Gravdal,68.1214,13.5031,30.94,94,68,6.89,NO,1612669437
Ponta do Sol,32.6667,-17.1,54.0,64,25,4.0,PT,1612669521
Ancud,-41.8697,-73.8203,62.01,67,0,3.44,CL,1612669447
Socorro,31.6546,-106.3033,55.4,16,1,5.75,US,1612669521
Drumheller,51.4617,-112.7101,-9.0,70,100,3.44,CA,1612669521
Caravelas,-17.7125,-39.2481,77.45,89,100,7.74,BR,1612669467
Saint-Philippe,-21.3585,55.7679,82.4,69,0,4.61,RE,1612669451
Xining,36.6167,101.7667,31.82,61,73,2.48,CN,1612669462
Cape Town,-33.9258,18.4232,70.0,83,40,14.97,ZA,1612669522
Valparaíso,-33.0393,-71.6273,60.8,82,90,5.23,CL,1612669522
Russell,32.3502,-85.1999,42.8,87,90,4.61,US,1612669522
Dunedin,-45.8742,170.5036,61.0,78,0,30.0,NZ,1612669509
San Jerónimo,-11.9472,-75.2829,51.31,76,93,1.59,PE,1612669522
Nuevo Comalapa,15.65,-92.1333,69.57,61,0,2.84,MX,1612669522
Broome,42.2506,-75.833,23.0,36,1,4.61,US,1612669305
Izazi,-7.2,35.7333,64.4,88,75,2.19,TZ,1612669522
Hirara,24.8,125.2833,75.2,69,20,9.22,JP,1612669522
Saint George,37.1041,-113.5841,52.0,24,1,3.44,US,1612669522
Aksu,41.1231,80.2644,38.86,57,100,2.48,CN,1612669522
Chumikan,54.7183,135.315,-4.45,85,100,13.27,RU,1612669520
Tuatapere,-46.1333,167.6833,67.32,57,5,7.36,NZ,1612669523
San Angelo,31.4638,-100.437,46.99,31,1,5.75,US,1612669523
Bengkulu,-3.8004,102.2655,86.45,55,94,8.05,ID,1612669521
Umm Hājar,13.2954,19.6966,58.5,30,66,8.39,TD,1612669523
Chara,56.9064,118.2631,-7.96,76,40,1.21,RU,1612669480
Taoudenni,22.6783,-3.9836,57.42,40,43,9.69,ML,1612669523
Dhidhdhoo,6.8833,73.1,81.36,69,15,11.23,MV,1612669453
Zhangjiakou,40.81,114.8794,24.15,75,0,7.65,CN,1612669523
Adrar,20.5022,-10.0711,53.56,43,88,11.56,MR,1612669292
Acapulco de Juárez,16.8634,-99.8901,78.8,78,1,5.75,MX,1612669257
Takoradze,4.8845,-1.7554,78.8,88,2,9.04,GH,1612669523
Yeppoon,-23.1333,150.7333,98.6,36,75,5.75,AU,1612669524
Kenora,49.8167,-94.4337,-20.0,69,75,10.36,CA,1612669524
Tabou,4.423,-7.3528,78.1,90,2,7.45,CI,1612669524
Severo-Kuril'sk,50.6789,156.125,22.24,93,93,23.11,RU,1612669447
Bathsheba,13.2167,-59.5167,77.0,73,40,20.71,BB,1612669327
Camocim,-2.9022,-40.8411,77.18,86,0,9.71,BR,1612669524
Umluj,25.0213,37.2685,66.33,52,0,18.54,SA,1612669524
Bud,39.447,-86.1758,19.99,66,100,10.38,US,1612669524
Tasiilaq,65.6145,-37.6368,33.8,51,50,21.85,GL,1612669433
Bennettsville,34.6174,-79.6848,45.0,93,90,5.75,US,1612669524
San Cristobal,7.7669,-72.225,65.75,88,100,1.68,VE,1612669524
Deputatsky,69.3,139.9,-30.1,84,21,1.34,RU,1612669460
Chino Valley,34.7575,-112.4538,46.99,34,1,8.05,US,1612669524
Ribeira Grande,38.5167,-28.7,61.25,90,97,20.02,PT,1612669524
Kerema,-7.9631,145.7785,86.31,66,74,7.58,PG,1612669525
Bollnäs,61.3482,16.3946,15.01,89,4,1.01,SE,1612669525
Lancaster,40.2504,-76.2499,30.99,59,1,5.75,US,1612669509
Vondrozo,-22.8167,47.2833,72.09,95,99,1.12,MG,1612669525
Eskilstuna,59.3666,16.5077,14.0,85,80,5.75,SE,1612669525
Arkhara,49.4212,130.0842,-11.6,88,52,7.67,RU,1612669525
Litovko,49.2361,135.1742,1.0,89,100,2.64,RU,1612669525
Vanimo,-2.6741,141.3028,79.56,85,100,6.55,PG,1612669525
Arraial do Cabo,-22.9661,-42.0278,71.85,83,100,9.01,BR,1612669471
Prykolotne,50.1604,37.3474,6.37,87,67,11.07,UA,1612669525
Galesburg,40.9478,-90.3712,0.0,84,1,5.75,US,1612669525
Kropotkin,45.4375,40.5756,24.75,98,100,5.23,RU,1612669525
Kalmunai,7.4167,81.8167,81.1,81,23,11.52,LK,1612669526
Ojinaga,29.5667,-104.4167,53.6,17,1,3.44,MX,1612669526
Pogar,52.554,33.2591,-6.18,91,0,7.34,RU,1612669526
Samaná,19.2056,-69.3369,74.98,79,67,9.89,DO,1612669526
Nemuro,43.3236,145.575,21.2,86,75,12.66,JP,1612669406
Olafsvik,64.8945,-23.7142,34.23,82,13,15.55,IS,1612669511
Tombouctou,20.0,-3.0,64.08,28,97,16.26,ML,1612669526
Hamilton,39.1834,-84.5333,30.0,74,90,6.38,US,1612669499
Pavlodar,52.3,76.95,33.8,75,90,24.61,KZ,1612669526
Mackay,-21.15,149.2,93.0,66,100,13.8,AU,1612669526
Manjacaze,-24.7117,33.8828,73.02,89,95,2.55,MZ,1612669526
Vrangel',42.7297,133.0839,18.0,80,0,14.99,RU,1612669526
Luwuk,-0.9516,122.7875,85.87,62,100,2.01,ID,1612669526
Genhe,50.7833,121.5167,-0.09,83,43,2.62,CN,1612669526
Northam,51.0333,-4.2167,39.0,88,80,8.99,GB,1612669526
Hualmay,-11.0964,-77.6139,70.86,78,100,6.6,PE,1612669496
Värnamo,57.186,14.04,12.0,92,0,4.61,SE,1612669527
Sioux Lookout,50.1001,-91.917,-16.6,63,90,12.66,CA,1612669243
Korla,41.7597,86.1469,35.91,68,31,6.02,CN,1612669527
Paratebueno,4.3758,-73.2155,78.39,66,92,1.3,CO,1612669527
Hearst,49.6835,-83.6665,-14.8,76,69,2.3,CA,1612669527
Kodinsk,58.6881,99.1844,20.91,96,100,7.05,RU,1612669527
Masumbwe,-3.6333,32.1833,66.02,92,97,2.19,TZ,1612669527
Edremit,39.5961,27.0244,42.8,100,0,3.44,TR,1612669527
Suntar,62.1444,117.6319,-6.97,90,98,3.53,RU,1612669527
Vallenar,-28.5708,-70.7581,60.78,71,0,1.45,CL,1612669527
Nanhai,30.1282,111.7784,48.0,97,100,7.7,CN,1612669527
Igrim,63.1906,64.4162,-18.65,88,100,15.46,RU,1612669527
Yulara,-25.2406,130.9889,91.4,19,0,12.66,AU,1612669528
Vao,-22.6667,167.4833,78.55,80,0,11.39,NC,1612669447
Miguel Auza,24.2933,-103.4503,52.95,36,0,8.5,MX,1612669338
Saldanha,-33.0117,17.9442,66.2,88,2,5.75,ZA,1612669528
Córdoba,-31.4135,-64.1811,73.99,82,0,6.91,AR,1612669289
